name,phase,other_names,country,capacity_mw,status,start_year,operator,owner,lat,lon,location_accuracy,state,gem_location_id,gem_phase_id,source
Edisun Guadalajara solar farm,--,,Spain,150.0,announced,2027.0,,,39.2848,-3.0556,approximate,Castilla-La Mancha,L100001005694,G100001006839,GEM Global Solar Power Tracker Feb-2026
Ekienea solar farm,--,,Spain,107.6,pre-construction,,,Ekienea SL [100%],42.6879,-2.8952,approximate,País Vasco,L100001000557,G100001000861,GEM Global Solar Power Tracker Feb-2026
El Aliagar 2 solar farm,2,,Spain,46.7,operating,,,,41.8318,-0.7644,approximate,Aragón,L100000824498,G100000827654,GEM Global Solar Power Tracker Feb-2026
El Almendro solar farm,--,,Spain,33.3,shelved - inferred 2 y,,Iberdrola,Iberdrola SA [100%],37.506,-7.2717,approximate,Andalucía,L100000824499,G100000827655,GEM Global Solar Power Tracker Feb-2026
El Andévalo solar project I,--,,Spain,3.8,operating,2023.0,,,37.4617,-7.2691,exact,Andalucía,L100001010073,G100001011443,GEM Global Solar Power Tracker Feb-2026
El Andévalo solar project IX,--,,Spain,2.0,operating,2017.0,,,37.7794,-7.1531,exact,Andalucía,L100001053050,G100001060844,GEM Global Solar Power Tracker Feb-2026
El Andévalo solar project V,--,,Spain,3.9,operating,2021.0,,,37.6714,-6.8785,exact,Andalucía,L100001010077,G100001011447,GEM Global Solar Power Tracker Feb-2026
El Andévalo solar project VI,--,,Spain,5.2,operating,2024.0,,,37.6433,-6.8525,exact,Andalucía,L100001052832,G100001060626,GEM Global Solar Power Tracker Feb-2026
El Andévalo solar project VII,--,,Spain,6.9,operating,2025.0,,,37.5946,-7.0919,exact,Andalucía,L100001052851,G100001060645,GEM Global Solar Power Tracker Feb-2026
El Andévalo solar project VIII,--,,Spain,3.7,operating,2024.0,,,37.6347,-6.8995,exact,Andalucía,L100001052922,G100001060716,GEM Global Solar Power Tracker Feb-2026
El Andévalo solar project X,--,,Spain,1.0,operating,2017.0,,,37.5813,-6.8191,exact,Andalucía,L100001053138,G100001060932,GEM Global Solar Power Tracker Feb-2026
El Andévalo solar project XI,--,,Spain,12.4,operating,2025.0,,,37.6407,-6.878,exact,Andalucía,L100001053206,G100001061000,GEM Global Solar Power Tracker Feb-2026
El Andévalo solar project XII,--,,Spain,3.3,operating,2022.0,,,37.5922,-7.0726,exact,Andalucía,L100001053459,G100001061253,GEM Global Solar Power Tracker Feb-2026
El Andévalo solar project XIII,--,,Spain,1.6,operating,2024.0,,,37.4592,-7.2747,exact,Andalucía,L100001053652,G100001061446,GEM Global Solar Power Tracker Feb-2026
El Baix Segura / La Vega Baja solar project I,--,,Spain,1.5,operating,2017.0,,,37.8677,-0.8242,exact,Comunidad Valenciana,L100001052849,G100001060643,GEM Global Solar Power Tracker Feb-2026
